Thoroughbred,1795
AQHA Quarter Horse,542
Oldenburg,325
Unknown,325
APHA Paint,296
Welsh Pony,279
Hanoverian,257
Dutch Warmblood,227
Andalusian,217
Friesian,215
AQHA Quarter Horse Appendix,199
Pony,156
Morgan Horse,112
Holsteiner,111
Appaloosa,109
Draft Horse,100
Quarter Pony,86
Warmblood Cross,77
Trakehner,75
Irish Sport Horse,72
Arabian Cross,68
Rheinland Pfalz Saar,54
American Saddlebred,53
Haflinger,53
Lusitano,46
Swedish Warmblood,43
Pinto,41
American Warmblood Registry,39
Gypsy Horse,39
Pura Raza Espanola,37
American Warmblood Society,35
Welsh Cob,35
Canadian Warmblood,34
Connemara,33
German Riding Pony,32
Danish Warmblood,32
Westphalian,32
Percheron,26
American Appendix AAHA,25
German Warmblood,24
Grade Horse,23
Lipizzan,22
Mustang,22
American Paint Pony,22
American Sport Pony,20
Belgian Warmblood,20
Arabian Saddlebred,20
Arabian Pinto,19
Miniature Horse,19
Hungarian Warmblood,18
Irish Draught,17
National Show Horse,16
Clydesdale,15
Akhal Teke Horse,14
Other,14
Canadian Sport Horse,14
Azteca,14
Drum Horse,13
Dutch Harness Horse,13
Fjord,13
Shire Horse,13
Hackney Pony,12
Zweibrucker,11
Quarab,10
Canadian Horse,9
Sport Horse of Color,8
International Sporthorse,8
Selle Francai,8
Warmbloods of Color,8
Zangersheide,8
Standardbred,7
Bashkir Curly Horse,7
Missouri Fox Trotter Horse,7
Curly Horse,7
Belgian,7
Shetland Pony,7
Morab,6
Spotted Draft,6
Georgian Grande,6
New Forest Pony,6
Brandenburger,6
Cleveland Bay,6
Palomino Horse Breed PHBA,6
Rocky Mountain Horse,6
Arabian TB Cross,6
Chincoteague Pony,5
Tennessee Walking Horse,5
Anglo Arabian,5
Welara Pony,5
Polish Warmblood Wielkopolski,4
Mule,4
Iberian Warmblood,4
Spanish Mustang,4
British Riding Pony,4
Belgian Sporthorse,4
Czech Warmblood,4
Kiger Mustang,4
American Show Pony,3
AraAppaloosa,3
Knabstrupper,3
Icelandic,3
Dartmoor Pony,3
Highland Pony,3
American Buckskin ABRA,3
Missouri Fox Trotter Pony,3
Spanish Barb,2
Dales Pony,2
Pintaloosa,2
Nokota,2
Caspian Horse,2
Russian Warmblood,2
Fell Pony,2
Hackney Horse,2
Foundation Quarter Horse Registry FQHR,1
Irish Cob,1
International Buckskin IBHA,1
Sugarbush Draft Horse,1
Donkey,1
Australian Warmblood,1
Spotted Saddle Horse,1
Shagya Arabian,1
Peruvian Paso,1
Spanish Norman,1
Colonial Spanish Horse,1
Warlander,1
Canadian Cross,1
National Quarter Horse Registry,1
Paso Fino,1
PRE Mundial,1
